x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,@,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,G,,,,,,,,,,,,F,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,S,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,,,,,,,,,,,,,,,,,,,,,,,,,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
